id,ts,rid,av,sv,ch,md,dr,os,cap,mkt,wid,c,st,ctx,ov,sd,ep,eb,ea,es,tp,sh,srq,sfl,b5,cs,fee,status,xp,pnl,er,xt,tx,xb,xa,xs,ms,me,eds,ods,drt,maxb,minb,ttmax,ttmin,tfp,sc,hc,fp,ff,why,v30,v60,du,dd,te
1612,2026-04-16T00:28:13.344873,20260415T222621Z-2da0d7ef82d0,3.4.16,unknown,2da0d7ef82d0,lead,1,10.0,50000.0,xrp-updown-5m-1776299100,xrp-updown-5m-1776299100,xrp,lead_lag,lead_lag,0,up,0.63,0.61,0.63,0.020000000000000018,0.66,15.0,15.0,15.0,0,9.45,0.03294,closed_win,0.7,0.5714519999999993,profit_target,2026-04-16T00:28:32.637726,87.535435,0.7,0.71,0.010000000000000009,2026-04-16T00:25:00+00:00,2026-04-16T00:30:00+00:00,15.95,8.05,1.9813664596273288,0.7,0.6,19.28975,12.182846,19.28975,1,0,"market_active,books_available,risk_limits","time_remaining,coin_velocity,lag_window,liquidity_depth,feed_count",Only 0s remaining,0.007203572972193414,0.0,0.0,12.780999999999999,0.404766
1611,2026-04-16T00:27:42.976645,20260415T222621Z-2da0d7ef82d0,3.4.16,unknown,2da0d7ef82d0,lead,1,10.0,50000.0,xrp-updown-5m-1776299100,xrp-updown-5m-1776299100,xrp,lead_lag,lead_lag,0,up,0.56,0.55,0.56,0.010000000000000009,0.66,17.0,17.0,17.0,0,9.520000000000001,0.0338976,closed_win,0.61,0.25721679999999886,profit_target,2026-04-16T00:28:06.636301,113.53478,0.61,0.62,0.010000000000000009,2026-04-16T00:25:00+00:00,2026-04-16T00:30:00+00:00,13.8976,33.3057,0.4172739200797461,0.61,0.55,23.657472,1.258523,23.657472,0,0,"market_active,books_available,risk_limits","time_remaining,coin_velocity,lag_window,liquidity_depth,feed_count",Only 0s remaining,0.007203572972193414,0.0,0.0,12.780999999999999,0.404766
1610,2026-04-15T23:25:32.850771,20260415T222621Z-2da0d7ef82d0,3.4.16,unknown,2da0d7ef82d0,lead,1,10.0,50000.0,xrp-updown-5m-1776295500,xrp-updown-5m-1776295500,xrp,lead_lag,lead_lag,0,up,0.58,0.56,0.58,0.019999999999999907,0.66,17.0,17.0,17.0,0,9.86,0.033696,closed_win,0.63,0.26651920000000084,profit_target,2026-04-15T23:25:58.804429,241.370132,0.63,0.65,0.020000000000000018,2026-04-15T23:25:00+00:00,2026-04-15T23:30:00+00:00,14.25,57.61,0.2473528901232425,0.63,0.52,25.950449,10.659969,25.950449,0,0,"market_active,books_available,liquidity_depth,risk_limits","time_remaining,coin_velocity,lag_window,feed_count",Only 0s remaining,-0.007202016564637305,0.007203054094935459,0.0,116.38459999999999,0.064464
1609,2026-04-15T23:20:32.378273,20260415T222621Z-2da0d7ef82d0,3.4.16,unknown,2da0d7ef82d0,lead,1,10.0,50000.0,xrp-updown-5m-1776295200,xrp-updown-5m-1776295200,xrp,lead_lag,lead_lag,0,up,0.53,0.51,0.53,0.020000000000000018,0.66,18.0,18.0,18.0,0,9.540000000000001,0.034092,closed_win,0.57,0.0795167999999987,profit_target,2026-04-15T23:21:04.893957,235.293471,0.57,0.58,0.010000000000000009,2026-04-15T23:20:00+00:00,2026-04-15T23:25:00+00:00,18.85,33.9096,0.5558897775261283,0.57,0.47,32.512615,17.115176,32.512615,0,0,"market_active,books_available,risk_limits","time_remaining,coin_velocity,lag_window,liquidity_depth,feed_count",Only 1s remaining,0.0793765334103118,0.05049776367046046,0.8544999999999999,673.6455000000001,0.528364
1608,2026-04-15T22:45:57.176034,20260415T222621Z-2da0d7ef82d0,3.4.16,unknown,2da0d7ef82d0,lead,1,10.0,50000.0,xrp-updown-5m-1776293100,xrp-updown-5m-1776293100,xrp,lead_lag,lead_lag,0,up,0.59,0.57,0.59,0.020000000000000018,0.66,16.0,16.0,16.0,0,9.44,0.033573599999999995,closed_loss,0.43,-2.8423551999999996,loss_cut,2026-04-15T22:46:36.210875,203.963639,0.43,0.44,0.010000000000000009,2026-04-15T22:45:00+00:00,2026-04-15T22:50:00+00:00,15.1,46.1645,0.3270911631231791,0.62,0.43,3.593467,39.032064,,0,0,"market_active,books_available,feed_count,risk_limits","time_remaining,coin_velocity,lag_window,liquidity_depth",Only 0s remaining,-0.007157171485828013,-0.057228700193140566,0.0,11.8587,0.057196
1607,2026-04-15T22:40:09.155889,20260415T222621Z-2da0d7ef82d0,3.4.16,unknown,2da0d7ef82d0,lead,1,10.0,50000.0,btc-updown-5m-1776292800,btc-updown-5m-1776292800,btc,lead_lag,lead_lag,0,down,0.62,0.61,0.62,0.010000000000000009,0.66,16.0,16.0,16.0,0,9.92,0.03312,closed_win,0.67,0.2738816000000008,profit_target,2026-04-15T22:40:12.764144,287.411758,0.67,0.68,0.010000000000000009,2026-04-15T22:40:00+00:00,2026-04-15T22:45:00+00:00,1233.6278,322.98,3.8195176171899186,0.67,0.61,3.605718,1.249468,3.605718,1,0,"market_active,books_available,feed_count,risk_limits","time_remaining,coin_velocity,lag_window,liquidity_depth",Only 0s remaining,0.0,0.0,321.73256,0.0,0.47884
1606,2026-04-15T22:40:02.069439,20260415T222621Z-2da0d7ef82d0,3.4.16,unknown,2da0d7ef82d0,lead,1,10.0,50000.0,btc-updown-5m-1776292800,btc-updown-5m-1776292800,btc,lead_lag,lead_lag,0,down,0.5,0.49,0.5,0.010000000000000009,0.66,20.0,20.0,20.0,0,10.0,0.0341568,closed_win,0.57,0.687055999999999,profit_target,2026-04-15T22:40:04.514224,295.663161,0.57,0.58,0.010000000000000009,2026-04-15T22:40:00+00:00,2026-04-15T22:45:00+00:00,303.0,77.60510000000001,3.904382572794829,0.57,0.49,2.441742,1.264106,2.441742,0,0,"market_active,books_available,feed_count,risk_limits","time_remaining,coin_velocity,lag_window,liquidity_depth",Only 0s remaining,0.0,0.0,321.73256,0.0,0.47884
1605,2026-04-15T22:30:23.363763,20260415T222621Z-2da0d7ef82d0,3.4.16,unknown,2da0d7ef82d0,lead,1,10.0,50000.0,xrp-updown-5m-1776292200,xrp-updown-5m-1776292200,xrp,lead_lag,lead_lag,0,up,0.58,0.57,0.58,0.010000000000000009,0.66,17.0,17.0,17.0,0,9.86,0.033696,closed_win,0.63,0.26651920000000084,profit_target,2026-04-15T22:30:29.324796,270.855319,0.63,0.64,0.010000000000000009,2026-04-15T22:30:00+00:00,2026-04-15T22:35:00+00:00,42.081799999999994,5.0427,8.345092906577824,0.63,0.57,5.956504,3.598294,5.956504,0,0,"market_active,books_available,risk_limits","time_remaining,coin_velocity,lag_window,liquidity_depth,feed_count",Only 0s remaining,0.03583201949261466,0.028663561447506695,0.0,4.779599999999999,0.466515
1604,2026-04-15T22:20:39.494301,20260415T195139Z-2da0d7ef82d0,3.4.15,unknown,2da0d7ef82d0,lead,1,10.0,50000.0,xrp-updown-5m-1776291600,xrp-updown-5m-1776291600,xrp,lead_lag,lead_lag,0,up,0.6,0.59,0.6,0.010000000000000009,0.66,16.0,16.0,16.0,0,9.6,0.0334368,closed_win,0.7,1.0815999999999997,profit_target,2026-04-15T22:20:47.780759,252.399543,0.7,0.71,0.010000000000000009,2026-04-15T22:20:00+00:00,2026-04-15T22:25:00+00:00,12.25,24.854799999999997,0.4928625456652237,0.7,0.59,8.284056,1.188784,8.284056,1,0,"market_active,books_available,risk_limits","time_remaining,coin_velocity,lag_window,liquidity_depth,feed_count",Only 1s remaining,0.021469977814353895,-0.03576282097131428,0.0,50.1041,0.530076
1603,2026-04-15T22:20:38.481864,20260415T195139Z-2da0d7ef82d0,3.4.15,unknown,2da0d7ef82d0,lead,1,10.0,50000.0,xrp-updown-5m-1776291600,xrp-updown-5m-1776291600,xrp,lead_lag,lead_lag,0,up,0.61,0.59,0.61,0.020000000000000018,0.66,16.0,16.0,16.0,0,9.76,0.0332856,closed_win,0.7,0.9240191999999995,profit_target,2026-04-15T22:20:48.062068,252.115289,0.7,0.71,0.010000000000000009,2026-04-15T22:20:00+00:00,2026-04-15T22:25:00+00:00,21.08,24.0548,0.8763323744117597,0.7,0.59,9.57447,1.257902,9.57447,1,0,"market_active,books_available,risk_limits","time_remaining,coin_velocity,lag_window,liquidity_depth,feed_count",Only 1s remaining,0.021469977814353895,-0.03576282097131428,0.0,50.1041,0.530076
1602,2026-04-15T22:15:07.619768,20260415T195139Z-2da0d7ef82d0,3.4.15,unknown,2da0d7ef82d0,lead,1,10.0,50000.0,xrp-updown-5m-1776291300,xrp-updown-5m-1776291300,xrp,lead_lag,lead_lag,0,up,0.5,0.49,0.5,0.010000000000000009,0.66,20.0,20.0,20.0,0,10.0,0.0341568,closed_win,0.61,1.4974239999999996,profit_target,2026-04-15T22:15:19.465485,280.707895,0.61,0.62,0.010000000000000009,2026-04-15T22:15:00+00:00,2026-04-15T22:20:00+00:00,22.93,16.0868,1.4253922470597011,0.61,0.49,11.842886,1.250732,11.842886,0,0,"market_active,books_available,liquidity_depth,risk_limits","time_remaining,coin_velocity,lag_window,feed_count",Only -0s remaining,0.05733534007022948,-0.007162297665106075,213.2799,0.0,-0.012442
1601,2026-04-15T22:08:07.903252,20260415T195139Z-2da0d7ef82d0,3.4.15,unknown,2da0d7ef82d0,lead,1,10.0,50000.0,eth-updown-5m-1776290700,eth-updown-5m-1776290700,eth,lead_lag,lead_lag,0,up,0.55,0.54,0.55,0.010000000000000009,0.66,18.0,18.0,18.0,0,9.9,0.0339768,closed_win,0.59,0.08573759999999866,profit_target,2026-04-15T22:08:10.277563,109.901954,0.59,0.6,0.010000000000000009,2026-04-15T22:05:00+00:00,2026-04-15T22:10:00+00:00,16.4265,102.85,0.15971317452600878,0.59,0.53,2.371516,1.189844,2.371516,0,0,"market_active,books_available,coin_velocity,risk_limits","time_remaining,lag_window,liquidity_depth,feed_count",Only 1s remaining,0.3005180036837545,0.3525432877613363,0.0,177.9018,0.515669
1600,2026-04-15T22:08:06.891157,20260415T195139Z-2da0d7ef82d0,3.4.15,unknown,2da0d7ef82d0,lead,1,10.0,50000.0,eth-updown-5m-1776290700,eth-updown-5m-1776290700,eth,lead_lag,lead_lag,0,up,0.62,0.61,0.62,0.010000000000000009,0.66,16.0,16.0,16.0,0,9.92,0.03312,closed_win,0.66,0.11008000000000057,profit_target,2026-04-15T22:08:11.682389,108.505619,0.66,0.7,0.039999999999999925,2026-04-15T22:05:00+00:00,2026-04-15T22:10:00+00:00,39.28,28.822899999999997,1.3628052694211896,0.66,0.54,4.788148,1.188422,4.788148,1,0,"market_active,books_available,coin_velocity,risk_limits","time_remaining,lag_window,liquidity_depth,feed_count",Only 1s remaining,0.3005180036837545,0.3525432877613363,0.0,177.9018,0.515669
1599,2026-04-15T22:08:05.876676,20260415T195139Z-2da0d7ef82d0,3.4.15,unknown,2da0d7ef82d0,lead,1,10.0,50000.0,btc-updown-5m-1776290700,btc-updown-5m-1776290700,btc,lead_lag,lead_lag,0,up,0.5,0.47,0.5,0.030000000000000027,0.66,20.0,20.0,20.0,0,10.0,0.0341568,closed_win,0.57,0.687055999999999,profit_target,2026-04-15T22:08:07.138540,113.098566,0.57,0.62,0.050000000000000044,2026-04-15T22:05:00+00:00,2026-04-15T22:10:00+00:00,667.6736,405.56410000000005,1.6462837810348596,0.57,0.57,1.259285,1.259285,1.259285,0,0,"market_active,books_available,liquidity_depth,feed_count,risk_limits","time_remaining,coin_velocity,lag_window",Only 1s remaining,0.0,0.0,0.0,500.3415,0.557703
1598,2026-04-15T22:05:05.853900,20260415T195139Z-2da0d7ef82d0,3.4.15,unknown,2da0d7ef82d0,lead,1,10.0,50000.0,sol-updown-5m-1776290700,sol-updown-5m-1776290700,sol,lead_lag,lead_lag,0,down,0.64,0.63,0.64,0.010000000000000009,0.66,15.0,15.0,15.0,0,9.6,0.0327456,closed_win,0.69,0.270155999999999,profit_target,2026-04-15T22:05:18.907901,281.265968,0.69,0.7,0.010000000000000009,2026-04-15T22:05:00+00:00,2026-04-15T22:10:00+00:00,97.65,5.7,17.13157894736842,0.69,0.58,13.051775,5.969004,13.051775,1,0,"market_active,books_available,coin_velocity,risk_limits","time_remaining,lag_window,liquidity_depth,feed_count",Only 0s remaining,0.24653674571494918,0.31719924812029604,0.0,76.3232,0.474123
